name,lat,lng,category
थालाछें बचत तथा ऋण सहकारी संस्था लिमिटेड,27.6742856,85.4327744,Cooperative bank
Paripurna Multipurpose Co. Ltd,27.6738729,85.4272013,Cooperative bank
Subhakamana Saving and Credit Cooperatives Ltd. Byasi Service Counter,27.6754579,85.4297438,Cooperative bank
Kantipur Saving and Credit Co-operative Limited - Radhe Radhe,27.6758124,85.3974005,Cooperative bank
Surya Sandesh Co-operative,27.701128,85.3812477,Cooperative bank
Agricultural Development SACCOS,27.67436,85.370524,Cooperative bank
Sakchhyam Saving & Credit Co-operative Ltd. सक्षम सहकारी,27.6737761,85.3648729,Cooperative bank
हिमशिखर बहुउद्देश्यीय सहकारी,27.6742155,85.374263,Cooperative bank
Suryadev Multipurpose,27.6743655,85.370781,Cooperative bank
Pabitra Halesi Dham Saving and Credit,27.6735006,85.3726426,Cooperative bank
Annapurna Multiple Co-Op,27.6744163,85.3736109,Cooperative bank
Siddhikali Saving & Credit Co operative Ltd. सिद्धिकाली बचत तथा ऋण सहकारी संस्था लिमिटेड,27.6806014,85.3849576,Cooperative bank
Upakar SACCOS,27.6826758,85.3852013,Cooperative bank
Jyotipunja Multipurpose Co-op,27.6982433,85.3728828,Cooperative bank
Bhaktapur District SACCOS,27.6641754,85.4295811,Cooperative bank
Kuber Saccos,27.6675869,85.423819,Cooperative bank
"Shankhadhar Saccos (SHANKHADHAR SAVINGS AND CREDIT CO-OPERATIVE LTD,)",27.6730676,85.3859352,Cooperative bank
"Takuba Chowk, Madhyapur Thimi-5 Bhaktapur",27.673714,85.3915723,Cooperative bank
chitizmultipurposesaving,27.6634863,85.4209781,Cooperative bank
Jimmewari Multipurpose Co-operative Ltd.,27.6657895,85.4212289,Cooperative bank
Sarbashree SAAKOSH,27.6642456,85.4211767,Cooperative bank
Samyukta Multipurpose Cooperative Ltd.,27.6652346,85.4271415,Cooperative bank
Sukunda Saving & Credit Co-operative,27.6666377,85.435941,Cooperative bank
Ambe Savings & Credit Co-operative Ltd,27.6698038,85.4378043,Cooperative bank
Susandesh Multipurpose Co-operative Limited,27.6661946,85.4375785,Cooperative bank
Samuhik SACCOS,27.6703149,85.4279855,Cooperative bank
Bhaktapur Jilla Bachat Sangh,27.6709939,85.4298429,Cooperative bank
"Sangam Saccos , Bhaktapur",27.669264,85.4291882,Cooperative bank
NMB Bank Limited,27.6724355,85.4315571,Bank
Mega Bank Nepal,27.6726474,85.4311074,Bank
Laxmi Sunrise Bank Ltd. Bhaktapur Branch (SukulDhoka),27.6726204,85.4311066,Bank
Himalayan Bank Limited,27.671919,85.430089,Bank
Century Bank (Sukuldhoka Bhaktapur Branch),27.6726404,85.4309344,Bank
Kumari Bank Ltd. Byasi Branch,27.6756102,85.4303872,Bank
Global IME Bank Limited,27.6771552,85.4365291,Bank
"Durbar ATM Lounge ,Bhaktapur- Durbar Square",27.6719257,85.4286371,Bank
NIC ASIA Bank And ATM,27.674665,85.4277391,Bank
Jyoti Bikash Bank Limited,27.671153,85.4381233,Bank
Agricultural Development Bank Ltd. Bhaktapur Branch,27.6719441,85.4227128,Bank
Khwpoa Savings and Credit Cooperatives,27.6751856,85.4296607,Bank
Rastriya Banijya Bank ( राष्ट्रिय वाणिज्य बैङ्क ),27.6756611,85.4372588,Bank
Shangri-la Development Bank Limited,27.6773768,85.4372607,Bank
Kumari Bank (Ittachhen-Napukhu Bhaktapur Branch),27.672056,85.4232274,Bank
Lumbini Bikas Bank,27.6897936,85.390028,Bank
Jyoti Bikash Bank,27.6895755,85.3896886,Bank
Mega Bank,27.696744,85.3799726,Bank
Mega Bank Nepal Limited,27.6835222,85.387396,Bank
Siddhartha Bank Limited,27.6898482,85.3901424,Bank
Citizens Bank,27.6823239,85.3890812,Bank
Sanima Bank,27.6894076,85.3894665,Bank
NCC Bank,27.6836762,85.3876063,Bank
"Shangri-la Development Bank, Thimi Branch",27.6846577,85.3877557,Bank
NIC ASIA Bank Kadaghari Branch,27.6954375,85.3731875,Bank
Siddhartha Bank Limited,27.6759111,85.3979997,Bank
Nepal Bank Limited Naya Thimi Branch,27.6732234,85.3804148,Bank
Rastriya Banijya Bank,27.6821235,85.3742128,Bank
Global IME Bank,27.6729549,85.3856529,Bank
Sambhawana Saving and Credit Ltd.,27.6900901,85.3839157,Bank
NIC ASIA Bank Limited,27.6833357,85.3873207,Bank
Prabhu Bank Limited Naya Thimi Branch,27.6735673,85.3854225,Bank
Siddhartha Bank | Gatthaghar,27.6742271,85.3730892,Bank
Himalayan Bank Limited,27.6744277,85.3691712,Bank
Nabil Bank Limited Kaushaltar Branch,27.6746462,85.3666562,Bank
Himalayan Bank Limited ATM,27.675465,85.397539,Bank
Kumari Bank Limited,27.6799691,85.3992441,Bank
Sabya Samaj Multi purpose cooperative Ltd,27.67737,85.3977245,Bank
NIC ASIA Bank Limited,27.6768947,85.3980488,Bank
NIC ASIA Bank Radhe Radhe Branch,27.6754596,85.3975881,Bank
"Kamana Sewa Bikas Bank Ltd, Radhe Radhe Branch",27.6763452,85.3979254,Bank
"Rastriya Banijya Bank, Thimi Branch",27.6731916,85.3873655,Bank
Nabil Bank Limited Thimi Branch,27.6842048,85.3874096,Bank
National Cooperative Bank,27.6735056,85.3854448,Bank
Trishna Saving And Credit Co-Operative,27.681657,85.3915089,Bank
Suryamukhi Saving And Credit Co-operative Ltd.,27.68296,85.3894706,Bank
Citizens Bank Suryabinayak Branch,27.6653521,85.4263555,Bank
Rastriya Banijya Bank,27.6651531,85.4278333,Bank
Global IME Bank Limited,27.6659625,85.4247031,Bank
Prabhu Bank Limited,27.6659967,85.4234236,Bank
NIC ASIA Bank Bhaktapur Branch,27.6658125,85.4263281,Bank
Nepal Bank Ltd. Kamalbinayak Bhaktapur Branch,27.6785223,85.4404204,Bank
Nepal Investment Bank Limited,27.6651875,85.4256875,Bank
Mega Bank Nepal,27.675171,85.4406628,Bank
Nepal Bank ltd. Suryabinayak Ghalate,27.6656829,85.4212152,Bank
Sanima Bank Ltd. Suryabinayak Branch,27.6656625,85.4273906,Bank
Everest Bank Ltd. Bhaktapur Branch,27.6654375,85.4233906,Bank
"National Microfinance, Sipadole Branch",27.6608876,85.4462192,Bank
Simal Saving & Credit Co Operative Ltd,27.6451028,85.4427152,Bank
Nepal Bank Limited,27.6715784,85.4223191,Bank
Nabil Bank Suryabinayak Branch,27.6654125,85.4229844,Bank
Machhapuchhre Bank,27.6655125,85.4228594,Bank
Mega Bank Nepal Limited,27.6730038,85.3853933,Bank
Prime Commercial Bank Ltd. Gatthaghar Branch,27.6741015,85.3747911,Bank
Machhapuchchhre Bank Limited,27.673083,85.3827282,Bank
Kumari Bank Limited,27.6737574,85.3726543,Bank
NMB Bank Limited,27.6736921,85.3735331,Bank
Prime Bikas Bank,27.6731368,85.3863172,Bank
Agricultural Development Bank Limited,27.6742161,85.3726825,Bank
NIC ASIA Bank Balkot Branch,27.6654417,85.3662755,Bank
"Sanima Bank, Gathhagar Branch",27.6743583,85.3708735,Bank
"Sanima Bank ,Thimi Branch",27.6732068,85.3873588,Bank
Simal SACCOS,27.654067,85.4600435,Bank
Sanima Bank Balkot Branch,27.6654177,85.3666323,Bank
Mega Bank,27.6703413,85.3648844,Bank
Nepal Investment Bank Limited,27.6742302,85.3649806,Bank
Laxmi Bank Limited Kaushaltar Branch,27.6746046,85.3669265,Bank
Lumbini Bikas Bank,27.6741774,85.3643236,Bank
Prabhu Bank Limited,27.6747078,85.3651556,Bank
Khalpitar Saving & Credit Co-operative Ltd.,27.6648452,85.3715479,Bank
Kumari Bank Limited,27.6659625,85.4245781,Bank
NMB Bank Limited,27.6654375,85.4246875,Bank
"Muktinath Bikas Bank Limited, Suryabinayak Branch",27.6653125,85.4254375,Bank
Himalayan Bank ATM,27.6744449,85.3691812,Bank
Bihani Saving And Creadit Co-operative,27.6745604,85.3742347,Bank
Maitriya Saving & Credit Co-operative Limited,27.6695908,85.3660235,Bank
Global IME Bank Limited,27.6785213,85.481423,Bank
NIC ASIA Bank Limited,27.6825103,85.410853,Bank
Subha dibyashwori,27.6820579,85.3868757,Bank
Manohara Bachat Tatha Rin Sahakari,27.7050875,85.4056406,Bank
शुभ श्री बचत तथा ऋण सहकारी संस्था लि.,27.6984764,85.3730711,Bank
Garima Bikash Bank Ltd,27.6659465,85.4249225,Bank
Sahakali Saving & Credit Co-operative Ltd.,27.6971616,85.3705532,Bank
Laxmi sunrise bank,27.6737868,85.3798809,Bank
karya binayak saving and credit co-operative limited,27.6727344,85.3854477,Bank
Nawa Adarsha Saving & Credit cooperative Ltd.,27.6731854,85.3868984,Bank
Nerudo Rural Development Organization (NERUDO) Gothatar,27.6994338,85.3746301,Bank
गुण बचत तथा ऋण सहकारी संस्था लिमिटेड,27.6651643,85.4276832,Bank
"Siddhartha Bank Ltd. Kamalbinayak, Chyamhasingh Branch",27.6735949,85.439405,Bank
Muktinath Bikas Bank Limited,27.6779053,85.4379807,Bank
Prime Bank Chyamasingh Bhaktapur,27.6725038,85.4380771,Bank
Mahalaxmi Bikas Bank Limited,27.6776007,85.4378384,Bank
National Cooperative Bank Limited,27.6779441,85.4387091,Bank
NIC Asia Bank ATM,27.6777106,85.4380782,Bank
Central Finance Ltd.,27.6736591,85.4397548,Bank
Bhaktapur Bachat,27.6745358,85.4390908,Bank
प्राइम कमर्सियल बैंक लिमिटेड,27.6656426,85.4298249,Bank
Kumari Bank,27.6684141,85.4371154,Bank
Kamana sewa bikas bank,27.6666607,85.4361769,Bank
Nepal SBI Bank Ltd.,27.671412,85.4092883,Bank
Nabil Bank Limited - Bhaktapur Branch,27.66993,85.4101356,Bank
"Laxmi Sunrise Bank, Sallaghari Branch",27.6716123,85.4093394,Bank
Prime Commercial Bank Ltd.,27.6705506,85.410454,Bank
Nabil Bank Duwakot Branch,27.6786722,85.4087069,Bank
Parijat Saving & Credit Cooperative Ltd.,27.6694847,85.4082208,Bank
Heet Saving & Credit Co-operative,27.6678874,85.4370585,Bank
Sharad Saving Co-operative,27.6681888,85.4368902,Bank
Jaya Bhawani SACCOS,27.6673168,85.4153143,Bank
Central Finance Limited,27.6719659,85.4089316,Bank
Siddhartha Bank Gapali Suryabinayak,27.6676367,85.4265248,Bank
Aastha Saving and Credit Society Ltd. आस्था वचत तथा ऋण सहकारी संस्था लि.,27.669582,85.4281537,Bank
