name,category,lat,lng,weekly_hours,rating,reviews_count
Sagar tea shop,Coffee shop,27.7027997,85.4385237,0.0,5.0,1
Nagarkot peace garden cafe,Coffee shop,27.7028242,85.4399102,0.0,0.0,0
Friendship coffee shop,Coffee shop,27.6763214,85.4428386,0.0,0.0,0
Old Mill Cafe,Coffee shop,27.675913,85.4392927,0.0,5.0,8
Bamboo Brunch Restaurant,Restaurant,27.7085611,85.4396613,70.0,4.4,14
The Turning Point Restro,Fast food restaurant,27.705531,85.4403806,0.0,4.8,4
SISHIR RESORT,Restaurant,27.705148,85.447923,0.0,5.0,2
Pk Height Khaja Ghar,Restaurant,27.7028133,85.4389522,0.0,0.0,0
Pikhel Khaja Ghar,Bar,27.7010539,85.4400137,0.0,0.0,0
Shankha lal khaja ghar,Fast food restaurant,27.6978251,85.4453949,0.0,0.0,0
Namaste Newa Fastfood,Restaurant,27.6780133,85.4391407,98.0,3.6,122
Alfa home,Coffee shop,27.6485793,85.448664,0.0,5.0,2
bhanye,Coffee shop,27.6748627,85.4459376,0.0,5.0,1
Chiya Daboo,Coffee shop,27.673315,85.4394403,91.0,5.0,1
Sathiko Bakes & Cakes,Cafe,27.6555219,85.4603871,94.5,3.0,2
Nyasa Cafe,Cafe,27.676534,85.43905,105.0,5.0,4
Phaidhoka Khaja Ghar,Restaurant,27.668621,85.4662416,94.5,4.7,27
Jay Himalayan Family Resort Restro,Restaurant,27.6569466,85.455566,70.0,3.9,18
Blunch Resort,Restaurant,27.6609597,85.4481456,0.0,4.3,45
Nakha Chhen Newari Restaurant,Restaurant,27.6831696,85.4539651,0.0,4.9,7
Bar 555777,Bar,27.6575716,85.4492298,0.0,0.0,0
हाइवे खाजा घर,Fast food restaurant,27.6613064,85.4455643,87.5,1.0,1
black cherry cafe,Fast food restaurant,27.6451028,85.4427153,0.0,5.0,1
Fast Food,Restaurant,27.6480052,85.4499348,0.0,0.0,0
Friendship cofee shop,Coffee shop,27.6767411,85.4428571,0.0,0.0,0
Friendship coffee shop,Coffee shop,27.6766696,85.4427921,0.0,0.0,0
LA: WO: Station,Restaurant,27.6797431,85.4429394,96.5,4.7,9
Purushottam Newa Khaja Ghar Restro,Asian restaurant,27.6788682,85.4413761,77.0,4.0,108
Chawo khaja Ghar And Tea Point,Fast food restaurant,27.6857468,85.4436662,0.0,4.5,2
Chyasha cafe,Cafe,27.6763231,85.4398356,98.0,5.0,2
Srisha's Dairy and Bakery,Cafe,27.6813731,85.4448577,108.5,4.5,2
Vintuna Khaja ghar,Asian restaurant,27.6808625,85.4441406,84.0,0.0,0
Maheshwor Khaja Pasal,Fast food restaurant,27.6813928,85.4448893,108.5,1.0,1
Thakali Station,Asian restaurant,27.6783117,85.4407716,87.5,3.6,99
Dawa dai khaja ghar,Nepalese restaurant,27.6818508,85.4446401,0.0,0.0,0
Lakhe Food Land,Fast food restaurant,27.6748528,85.4456897,51.0,0.0,0
Easy Fast Food,Coffee shop,27.6829462,85.4532658,0.0,4.4,7
Bhaktapur,Cafe,27.675625,85.4422873,133.0,0.0,0
SHANDAR MO:MO,Restaurant,27.6758611,85.448792,0.0,0.0,0
Ram caafe,Restaurant,27.6732467,85.4492083,0.0,0.0,0
Shreya Newari Khaja Ghar,Family restaurant,27.674057,85.4421886,0.0,3.0,1
Pond Station Hotel,Restaurant,27.6752537,85.4481499,0.0,0.0,0
Food Point Restro,Restaurant,27.6749704,85.4451027,90.0,0.0,0
Bhakta,Fast food restaurant,27.6747541,85.4460334,0.0,0.0,0
Sandesh Computer,Internet cafe,27.6773638,85.443104,0.0,0.0,0
Sunil khaja ghar,Restaurant,27.6752491,85.4434855,0.0,0.0,0
Lets Celebrate Family Resturant,Restaurant,27.67378,85.4421313,0.0,0.0,0
Pratik's Cafe,Cafe,27.687648,85.4526503,84.0,3.2,14
Himal shrestha,Bar,27.6755069,85.4474094,0.0,0.0,0
Chhusyaki Traders,Bar,27.6772092,85.4408656,74.67,3.6,21
Shiva ram house,Bar,27.6746056,85.4399017,0.0,0.0,0
Bansbari Kitchen,Barbecue restaurant,27.6865656,85.4590553,0.0,0.0,0
Maligaun high Cafe,Coffee shop,27.6399236,85.4416878,0.0,4.5,2
Camper 01,Restaurant,27.6862685,85.4514109,0.0,3.6,8
Chusky's,Restaurant,27.6423538,85.4354595,0.0,5.0,4
Purushottam khaja ghar,Restaurant,27.6930004,85.4498839,0.0,0.0,0
Balram khaja ghar,Fast food restaurant,27.6400904,85.4372728,0.0,5.0,2
Doleshwor kirana and khaja pasal,Restaurant,27.6393565,85.4376453,0.0,0.0,0
Doleshwor Village Resort,Restaurant,27.6430437,85.4356005,0.0,4.0,153
Dulal tea shop,Cafe,27.6705657,85.4623427,70.0,3.7,11
Friendship restro,Restaurant,27.6603735,85.4485444,94.5,4.0,4
Maya khaja ghar,Family restaurant,27.6608589,85.4466364,0.0,5.0,1
Pikhel Snooker and Pool House,Cafe,27.6972587,85.4493306,0.0,0.0,0
Daju Vai Khaja Ghar,Restaurant,27.6923888,85.4600068,0.0,0.0,0
Peaceful Baansghari Resort,Restaurant,27.6605064,85.4513596,91.0,3.2,22
Dhanush Restaurant,Restaurant,27.6584933,85.4526872,0.0,4.3,3
Araniko Village Resort,Cottage rental,27.6574907,85.4540373,0.0,3.7,117
Majic Mushroom Cafe,Restaurant,27.6388035,85.4239018,0.0,0.0,0
Seed & Spoon,Restaurant,27.6818442,85.4583658,101.5,3.8,16
NEA Training Centre Canteen,Cafe,27.6868218,85.4556838,84.0,3.9,60
Balaram Store,Restaurant,27.6887846,85.4573773,91.0,4.0,3
S &S Fast Food,Restaurant,27.6686628,85.4666982,0.0,0.0,0
RFC,Coffee shop,27.6818551,85.4550173,0.0,0.0,0
Manju chiya pasal,Coffee shop,27.6818554,85.4532209,0.0,0.0,0
Hotel Simpani khabab khaja Ghar,Restaurant,27.6513561,85.439276,0.0,4.3,3
Grocery shop,Cafe,27.6483017,85.4489812,84.0,4.0,5
Pratikshya kirana pasal,Coffee store,27.666451,85.4466941,15.0,0.0,0
Purna Dai ko chya pasal,Cafe,27.6772499,85.4391732,106.5,3.8,37
Chicken Station Kamalbinayak,Restaurant,27.6783067,85.4407137,112.0,3.0,2
Wanted Restaurant,Restaurant,27.6696016,85.4109786,98.0,4.7,15
Khushi Khaja Ghar,Asian restaurant,27.6658123,85.4100564,84.0,5.0,2
Crave Corner,Asian restaurant,27.6704538,85.409407,0.0,5.0,1
Bardali Kitchen & Sekuwa Ghar,Family restaurant,27.6724375,85.4049375,0.0,4.7,45
Taboche Restaurant and coffee shop,Restaurant,27.6713645,85.4213097,91.0,4.6,111
The Burger House and Crunchy Fried Chicken,Restaurant,27.6704472,85.4096093,87.5,3.4,255
Paradise Foodland,Restaurant,27.6707736,85.4100168,105.0,3.3,138
Sarlahi Khaja Ghar,Fast food restaurant,27.6687012,85.4129098,98.0,5.0,1
Maila Daiko Khaja Ghar,Fast food restaurant,27.6695565,85.4086816,105.0,4.7,3
Sushmita Khaja Ghar,Fast food restaurant,27.6696088,85.4127312,0.0,5.0,1
Universal Tandoori Cafe,Family restaurant,27.6713044,85.4082338,84.0,3.5,179
North Rooftop Restaurant,Family restaurant,27.6721412,85.423476,0.0,4.1,54
Bluemoon homestay and Restaurant,Restaurant,27.6751651,85.4085202,105.5,4.8,13
Old Town Food: Best Late-Night Food in Bhaktapur,Family restaurant,27.6776181,85.4075666,121.0,4.1,344
Newa Nanee,Restaurant,27.6735524,85.4124763,81.0,4.2,57
Mi:loco Cafe' n Restaurant,Restaurant,27.6711367,85.4216744,101.5,4.0,85
Swastik Newari Khaja Ghar (Authentic Newari Restaurant),Nepalese restaurant,27.6722911,85.426915,91.0,5.0,14
Jai MataDi Sweet and Chat House,Restaurant,27.6695517,85.410913,84.0,3.7,7
Lakshmi Khaja Ghar,Fast food restaurant,27.668624,85.4118629,98.0,4.2,9
Cafe JAC Bhaktapur,Restaurant,27.6652664,85.4226844,91.0,5.0,3
Dipa Khaja Ghar,Fast food restaurant,27.6664314,85.420063,0.0,5.0,1
CHOPSTICK,Fast food restaurant,27.6689815,85.4057539,87.5,4.4,5
Sukul Dhoka ko Michael Momo,Chinese restaurant,27.670709,85.4092365,0.0,3.5,2
Suddha Sakahari Khaja Ghar,Breakfast restaurant,27.669819,85.408712,91.0,0.0,0
RBrr Khaja ghar,Restaurant,27.6644892,85.414486,0.0,0.0,0
Sindhu Khaja Ghar,Fast food restaurant,27.6665413,85.4194733,91.0,3.0,2
J.K. Rimjhim Food Stick,Asian restaurant,27.6670465,85.4104814,0.0,0.0,0
Takila tea sallaghari outlet,Restaurant,27.6701624,85.4075394,0.0,0.0,0
Maa’s Cafe,Cafe,27.6708336,85.4091961,98.0,4.9,52
Café:In,Coffee shop,27.664202,85.4217985,74.75,4.8,12
Cin Cin Garden,Restaurant,27.6706505,85.4218284,94.5,4.7,402
The light cafe and restaurant,Restaurant,27.6633759,85.4237223,107.0,5.0,1
Baiga Cafe and Rooftop,Restaurant,27.6726941,85.4249557,101.5,4.9,10
MOMO MUNI CAFE,Family restaurant,27.6721982,85.4058445,70.0,5.0,1
La Bella Restro srijananagar bhaktapur,Cafe,27.6723507,85.4052033,112.0,4.6,10
CULTURE CAFE & BAR,Nepalese restaurant,27.6699487,85.4277691,98.0,4.7,43
Bhaktapur Dairy And Coffee Shop,Cafe,27.666245,85.4182367,112.0,5.0,1
The Pottery Cafe and bar,Restaurant,27.6697144,85.4276931,84.0,4.5,271
Siddhapokhari Kirana Pasal,Coffee shop,27.6711801,85.4200541,0.0,3.7,107
SUZZANE FOOD CAFE,Cafe,27.6698033,85.4105413,0.0,1.0,1
Palpasa Cafe & Fast Food,Cafe,27.6699536,85.4102817,91.0,2.8,5
Sindhupalchok khaja ghar and coffee shop,Coffee shop,27.6659175,85.4192133,0.0,0.0,0
Sunapati Ramechhap Khaja Ghar,Bar,27.6702942,85.4112787,0.0,1.0,1
Ghorasaini Liquor & Fruits,Bar,27.6709226,85.4138819,0.0,0.0,0
bhaktapur nepal,Bar,27.6716863,85.4078543,0.0,0.0,0
The Golden Lion,Sports bar,27.6617555,85.4211059,102.0,5.0,3
Stunt bums,Bar,27.6644841,85.4090714,0.0,0.0,0
mrp sekuwa adda सेकुवा KG रक्सी MRP मा,Bar,27.6730246,85.4047476,112.0,4.2,47
Battle Snooker,Sports bar,27.6707806,85.422736,84.0,5.0,1
The Garuda Bar,Bar,27.6707963,85.4288518,91.0,4.2,103
Khankii Lounge & Bar with Thakali,Bar,27.6730144,85.4048528,87.5,0.0,0
Tas-ka Bar,Bar,27.6702897,85.4285822,0.0,4.1,15
Ja foodland and Bar,Bar,27.6712421,85.4298469,0.0,3.4,21
The Tribal Bar,Bar,27.6675284,85.4252122,0.0,0.0,0
Lawaju Mithai Bhandar (लवजू मिठाइ भण्डार),Vegetarian restaurant,27.6767395,85.4371462,98.0,3.8,39
सिध्दिलक्ष्मी मिठाई भण्डार,Vegetarian restaurant,27.6649522,85.4256451,98.0,3.6,80
Balakhu Food Point,Restaurant,27.6728194,85.4293616,82.25,4.8,268
Na:Pukhu Fast Food,Restaurant,27.6714316,85.4231449,91.0,3.4,108
Tryst Fast Food Restaurant,Restaurant,27.6715225,85.4216812,91.0,3.5,179
Stick Fast Food,Restaurant,27.671189,85.4208855,0.0,4.0,2
3rd eyes fast food,Restaurant,27.6666523,85.4270263,84.0,5.0,3
New Diamond Restaurant,Fast food restaurant,27.6788591,85.4085359,91.0,5.0,2
Kyodong Laphing and Fast Food,Restaurant,27.6662604,85.4234316,91.0,4.0,1
कान्तिपुर गेष्ट हाउस एण्ड रेष्टुरेन्ट,Hong Kong style fast food restaurant,27.6712727,85.4207497,0.0,3.2,17
New York Bites,Fast food restaurant,27.6728993,85.4258144,0.0,5.0,1
Swadishta Momo And Fast Food,Restaurant,27.6746014,85.4072186,91.0,3.0,2
Kumar Khaja Ghar कुमार खाजा घर,Fast food restaurant,27.6632167,85.4110133,0.0,0.0,0
De Temple Cafe,Restaurant,27.6735231,85.4349476,105.0,4.4,197
Madhikarmi JuJu Dhau Center,Dessert restaurant,27.6727945,85.431531,91.0,4.5,59
Hada Ice Cream,Ice cream shop,27.6667617,85.4256602,84.0,4.0,438
Hotel Prisha and Rooftop,Restaurant,27.6712287,85.4204982,0.0,4.3,35
Timmure kamalbinayak,Barbecue restaurant,27.6768151,85.4368339,87.5,4.0,115
Eagle King sekuwa corner,Barbecue restaurant,27.6788165,85.4084699,105.0,0.0,0
COFEE SHOP,Coffee shop,27.674848,85.4084642,0.0,0.0,0
Fresh coffe House and Barkery,Coffee shop,27.6700488,85.4101096,0.0,5.0,1
Roshani Coffee Shop,Coffee shop,27.6738452,85.409822,91.0,3.4,38
Shrestha Coffee Shop,Cafe,27.6742261,85.4095526,94.5,3.4,21
Drip Cafe,Coffee shop,27.671192,85.4207331,94.5,5.0,1
UnderGround Cafe,Coffee shop,27.67039,85.421741,0.0,5.0,3
My Cafe,Coffee shop,27.6720649,85.4063076,0.0,0.0,0
Prabin Cold Store,Coffee shop,27.6755398,85.4227956,0.0,5.0,1
"suryabinayak,5 katunje",Coffee shop,27.6683542,85.4044251,0.0,5.0,1
The bekary & coffee shop,Coffee shop,27.6683125,85.4043512,98.0,5.0,1
Bhajya Pukhu Coffee,Coffee shop,27.6712812,85.4211715,91.0,4.0,334
Shova Coffee Shop,Coffee shop,27.67151,85.4216859,98.0,3.2,22
Durbar Coffee & Eatery,Coffee shop,27.672341,85.4266082,84.0,4.6,24
Coffee Klatch,Coffee shop,27.6700445,85.4282604,91.0,4.5,70
Bijen Ko Pasal,Coffee shop,27.6724194,85.4043218,0.0,0.0,0
Shashil group,Coffee shop,27.6716926,85.4078369,0.0,0.0,0
The Street Coffee House,Coffee store,27.674435,85.4229588,105.0,5.0,23
Refesh Coffee House and Bakery,Coffee store,27.6700433,85.4101231,101.5,5.0,1
One O One Coffee & Barista School,Coffee shop,27.6639728,85.4259243,98.0,4.7,487
The Morrison Cafe,Coffee shop,27.6725878,85.4252582,98.0,5.0,4
Hillside beans barista coffee school,Coffee shop,27.6644989,85.4257322,112.0,4.8,80
Enjoycoffeeshop,Coffee shop,27.671456,85.4278273,89.5,5.0,5
FreshPresso Coffee Bar,Cafe,27.6726397,85.4295795,108.5,4.6,39
Refresh Cafe,Cafe,27.6712788,85.4211734,0.0,4.5,2
Abc Cafe,Cafe,27.6689225,85.4049667,0.0,5.0,1
TUSHARO CAFE,Cafe,27.6660451,85.4225424,0.0,5.0,1
Janakpur Sweet and chat house,Family restaurant,27.6778068,85.4078506,0.0,5.0,3
Busy Bee Restro,Restaurant,27.6738313,85.4098194,91.0,4.3,4
Salla Cafe,Restaurant,27.6738651,85.4097823,0.0,3.3,3
Вкусная еда,Restaurant,27.6754222,85.4092715,84.0,4.7,3
Subecchya Restaurant (Shree Ram Birbal),Asian restaurant,27.6767355,85.4056893,0.0,4.0,1
Jaiswal Handi mutton Restaurant,Indian restaurant,27.6734827,85.409241,91.0,4.0,4
Newa Kitchen & Sekuwa House,Family restaurant,27.6732633,85.409524,63.0,2.0,1
Khwopa Garden Restaurant,Fast food restaurant,27.6718514,85.4225442,0.0,4.0,1
Kausee Newari Resturant,Restaurant,27.6781112,85.4074216,0.0,3.7,3
Brothers food cafe,Family restaurant,27.678122,85.4070447,0.0,0.0,0
Shiva sweets and fastfood restro,Restaurant,27.6745623,85.4094066,92.5,3.0,5
JHIGU BHWYAE CHEN,Restaurant,27.6733384,85.4097721,0.0,0.0,0
TAJ KHAJA ghar,Restaurant,27.6760772,85.4085931,94.5,0.0,0
AJ Cafeteria,Cafe,27.673825,85.4098184,94.5,3.5,11
भि,Restaurant,27.6738307,85.4097828,80.5,4.9,8
Minu KhajaGhar and Bhojanalay,Fast food restaurant,27.6738602,85.4094831,0.0,5.0,1
SallaGhari Khaja Ghar,Fast food restaurant,27.6737669,85.4101513,91.0,4.0,1
Gopal Khaja Ghar,Restaurant,27.6775961,85.4075601,0.0,4.0,2
Sanu Mo:Mo: Center and Bhojanalay,Dumpling restaurant,27.6718939,85.4062693,90.0,2.3,3
Sanju Cold Store,Restaurant,27.6759705,85.4171998,0.0,0.0,0
Chonga Ganesh Newari Khaja Ghar,Brunch restaurant,27.6756675,85.4200654,0.0,0.0,0
Mayur Restaurant,Restaurant,27.6733621,85.434938,63.0,4.3,311
"Bhadrakali Snooker,pool,Cafe and Hookah",Breakfast restaurant,27.6709669,85.4227737,98.0,4.0,1
Divyashree Restaurant And Banquet,Restaurant,27.6720143,85.4044925,105.0,3.8,13
BC Fast Foodl,Barbecue restaurant,27.6652101,85.4272984,91.0,0.0,0
Hena Coffee,Coffee shop,27.677081,85.4359849,91.0,5.0,10
MR BAKE Coffee,Coffee shop,27.6762531,85.4378648,91.0,3.9,21
The Coffee Time,Coffee shop,27.6742754,85.4330135,91.0,5.0,1
Sanereetaz Balakhu Café,Coffee shop,27.6726124,85.4292056,122.5,5.0,7
Food Bowl Restaurant,Coffee shop,27.6771492,85.436841,87.5,4.6,58
Kaman Coffee Shop,Coffee shop,27.6734349,85.4381693,108.5,4.1,41
Coffee in Style,Cafe,27.6713463,85.4300451,91.0,4.4,105
Himalayan Java Coffee - Bhaktapur,Coffee shop,27.6708631,85.4292379,105.0,4.7,193
Bikerz Point,Cafe,27.6783543,85.4339395,0.0,4.8,6
Time's Cafe And Restro,Restaurant,27.6774529,85.4380362,85.0,4.0,189
JUJU CAFE,Cafe,27.6726179,85.4292028,91.0,4.4,57
Fursad cafe,Cafe,27.675584,85.4302642,70.0,5.0,3
Chiya Sangai: Best Tea Shop in Bhaktapur,Tea store,27.6769293,85.4377586,112.0,5.0,1
Bhintuna food cafe,Restaurant,27.675825,85.4381791,101.5,4.8,31
Moody Cafe,Restaurant,27.6756057,85.4317077,84.0,4.5,15
Restaurant Tusa,Restaurant,27.6736992,85.4334327,0.0,4.7,109
Lovely Milk Bar Bhaktapur,Cafe,27.6733785,85.4348665,91.0,5.0,13
De' Hide Out Cafe With Restro,Restaurant,27.6708993,85.4389241,98.0,4.2,26
HADA STORE (BHAKTAPUR JUJU DHAU 巴德岗老酸奶店）,Coffee shop,27.6722935,85.4269415,104.5,4.5,36
Namaste Coffee Shop,Coffee shop,27.6713833,85.4295005,0.0,4.5,8
Jhee Newa Cafe,Coffee shop,27.6726029,85.4312104,101.5,4.0,1
Kissing Fish Spa,Coffee shop,27.6716587,85.4301434,78.0,5.0,1
Kopu burger cafe,Coffee shop,27.6709997,85.4298171,0.0,5.0,1
Ichu galli,Coffee shop,27.6713256,85.4279672,0.0,5.0,1
DAAMI Cafe,Coffee shop,27.6691297,85.4280708,0.0,5.0,1
Kanxi chiya pasal,Coffee shop,27.6722306,85.4324328,0.0,1.0,1
Coffee Break,Cafe,27.6718026,85.4305635,84.0,5.0,5
Pulanchhen,Cafe,27.673801,85.4270962,98.0,5.0,1
Sha-Jhya Cafe & Funkey Delights,Cafe,27.6719183,85.4296154,91.0,3.7,158
Bhaktapur King Curd,Cafe,27.6722945,85.4270212,94.5,4.4,8
Chandrayan Espresso Bar,Espresso bar,27.6721252,85.4235942,98.0,3.8,86
Suresh coffee shop,Coffee shop,27.6775854,85.4302684,0.0,0.0,0
श्याम चिया पसल,Coffee shop,27.6760317,85.4325788,0.0,0.0,0
Fried local foods,Coffee shop,27.6718627,85.4297751,0.0,0.0,0
Art Gallery Cafe (AGC),Coffee shop,27.6717925,85.4324033,0.0,0.0,0
Kharbuza's Shop,Coffee shop,27.6771993,85.4228395,0.0,0.0,0
rajan khiunju,Coffee shop,27.6748464,85.4273098,0.0,0.0,0
Daily Grind Coffee,Restaurant,27.6721663,85.429265,98.0,4.8,9
Gomari Chhen,Coffee shop,27.6722932,85.4327994,0.0,0.0,0
Tuchhimama,Coffee shop,27.6733738,85.4311453,0.0,0.0,0
Aayan’s cafe and fastfood,Coffee shop,27.6734265,85.4311372,0.0,0.0,0
Punahari Coffee Shop,Cafe,27.6756396,85.4351914,0.0,1.0,1
Cafe De Bonjour,Fast food restaurant,27.6727303,85.4267056,87.0,4.2,6
The Hangout,Cafe,27.676286,85.4323664,0.0,4.0,4
Khwopa Media,Cafe,27.6719772,85.4372379,0.0,5.0,1
Namo Buddha Khaja Ghar,Cafe,27.6760901,85.4229492,84.0,4.5,4
बर्गर हाउस,Cafe,27.6727151,85.4258303,77.0,4.1,155
Zoom Eat Street,Cafe,27.6727115,85.4266876,91.0,2.5,2
Cafe Zone,Cafe,27.6718091,85.4306621,101.5,3.8,21
TERAKOTA WINDOW CAFE,Cafe,27.6738041,85.4311855,90.0,0.0,0
Lumanti Cafe,Cafe,27.6733741,85.4370836,77.0,0.0,0
Vajra Boutique Hotel,Restaurant,27.6726197,85.4295217,0.0,4.2,209
Alphabet Pizzeria,Restaurant,27.6722963,85.4241239,74.5,4.5,950
The Nanee,Cafe,27.6727318,85.4257091,0.0,4.5,93
its chai wala,Cafe,27.6752631,85.4300374,0.0,0.0,0
LUNIVA RESTAURANT AND GUEST HOUSE,Cafe,27.6747818,85.4312311,0.0,4.4,11
Shiva Guest House,Cafe,27.6718108,85.428603,0.0,4.0,17
Nasajwolan Newa kitchen & Continental Food,Family restaurant,27.6723271,85.424125,77.0,2.1,7
Coffee Square,Cafe,27.6729764,85.4263687,0.0,4.4,22
Hostel Swastik,Restaurant,27.6755045,85.434147,0.0,4.9,54
Awal paha chhen,Restaurant,27.675937,85.433786,77.0,0.0,0
NUMA KRISHI TATHA FRESH FARM PVT,Family restaurant,27.6738729,85.4272013,0.0,0.0,0
Taleju Grand Hotel - Bhaktapur,Cafe,27.6726564,85.4289499,0.0,4.8,17
Sukuldhoka_ newar_khaja_ghar,Restaurant,27.6723944,85.4303515,0.0,0.0,0
Newa Lahana Bhaktapur & Hotel,Restaurant,27.6722545,85.4308109,0.0,4.3,44
