name,lat,lng,category,final_weight,rank,filled_rank
Jhaur Bahi (Mangal Dharmadeep Mahavihar),27.6723509,85.4331308,Buddhist temple,0.7919091046015114,1,1.0
YAAN Vihar (рдпрд╛рдБ рдмрд┐рд╣рд╛рд░),27.6758948,85.4350299,Buddhist temple,0.5749080037457376,2,2.0
Dipankar Vihar,27.674884,85.4343098,Buddhist temple,0.5866381431134947,3,3.0
Indravarna Mahavihara (Inacho Baha),27.6721262,85.4342487,Buddhist temple,0.5298819938230065,4,4.0
Prashanasil Mahabihar,27.674612,85.4341282,Buddhist temple,0.4672856949859052,5,5.0
Taumadhi Dabu (Tamari Dabu),27.670996,85.4294692,Buddhist temple,0.4891375835628345,6,6.0
Subarna Mahavihar,27.6725635,85.4315305,Buddhist temple,0.472811645315733,7,7.0
Manjuvarna Mahavihar,27.6747634,85.4339378,Buddhist temple,0.4422856949690302,8,8.0
Pasu Mahabihar,27.6746988,85.4342383,Buddhist temple,0.3993487419044286,9,9.0
рдЪрддреБрдмреНрд░рд╣реНрдо рдорд╣рд╛рд╡рд┐рд╣рд╛рд░ (Chatubramha Mahavihar),27.6718526,85.4292919,Buddhist temple,0.4480192405635958,10,10.0
Lokeshwor Vihar,27.6720648,85.4255366,Buddhist temple,0.43854436732631613,11,11.0
Namobuddha - Namra bhagawan,27.672358,85.4328854,Buddhist temple,0.41906785413884684,12,12.0
Jetavarna Mahabihar,27.6713007,85.4254977,Buddhist temple,0.4169311020003004,13,13.0
Dolma sungjon.. pilgrimage site Ladakh,27.6749099,85.4342562,Buddhist temple,0.3861212286661024,14,14.0
Shree Indravarta Mahabihar.,27.6721575,85.4342336,Buddhist temple,0.4369081294432254,15,15.0
Mangal Dharma Dip Gumba,27.6759009,85.4350471,Buddhist temple,0.3831450381873343,16,16.0
Hunman tol bhaktpur,27.674766,85.4273979,Buddhist temple,0.35294117648904266,17,17.0
щЗСхИЪшРихЮЫ,27.674726,85.433739,Buddhist temple,0.3518518518693416,18,18.0
Lokeshvara Vihara рд╢реНрд░реА рдкрджреНрдордкрд╛рдгреА рд▓реЛрдХреЗрд╢реНрд╡реЛрд░,27.6721547,85.4255997,Buddhist temple,0.4181628879316486,19,19.0
Kutu Bahi рдХреБрдЯреБ рдмрд╣реА (рд╢реБрдХреНрд░рд╡рд░реНрдг рдорд╣рд╛рдмрд┐рд╣рд╛рд░),27.671741,85.4229682,Buddhist temple,0.44626406644954164,20,20.0
Dawasumba buddhist temple,27.6748736,85.4343951,Buddhist temple,0.34234234235110783,37,37.0
Tara Devi temple,27.6749118,85.4343539,Buddhist temple,0.43332267896461385,41,41.0
Boudha,27.7015916,85.3807886,Buddhist temple,0.4178672604363216,6,6.0
Nagadesh Buddha Vihar,27.6852648,85.3819106,Buddhist temple,0.5454694157294437,8,8.0
Gungachiwa Buddha Temple,27.68265,85.387292,Buddhist temple,0.4807013157713577,9,9.0
Pati Bihar,27.6820615,85.3885784,Buddhist temple,0.5176281416437079,10,10.0
GANKHU BUDHHA STUPA рдЧрд╛рдБрдЦреБ рдмреБрджреНрдз рд╕реНрддреБрдкрд╛,27.6856231,85.3965742,Buddhist temple,0.4215931066661847,11,11.0
"Buddha Chowk Marga, Nagadesh",27.6850047,85.3798993,Buddhist temple,0.41906785413884684,12,12.0
"Buddha Stupa chawaso, Nagadesh",27.6843864,85.3847137,Buddhist temple,0.43388236266043184,13,13.0
Buddha Chaitya,27.68225,85.3867509,Buddhist temple,0.38453392707743267,15,15.0
Bhramha nani tol,27.6803344,85.3863016,Buddhist temple,0.41089791949131554,17,17.0
Lord Buddha,27.6820847,85.3866318,Buddhist temple,0.39680682516034455,19,19.0
ЁСРРЁСР╕ЁСРЮ ЁСРОЁСР╢ЁСРмЁССВЁСРЯЁСР╢ ЁСРйЁСР┤ЁСР╡ЁСРзЁСР╢ЁСР┤ЁСР╡ЁСРм Guna Kirti Mahabihar,27.6795699,85.3859575,Buddhist temple,0.46752273882745254,11,11.0
Thimi Gunla Baja khala,27.6794693,85.3860036,Buddhist temple,0.40704074329784196,12,12.0
ЁСР│ЁСР┤ЁСР▒ЁССВЁСРмЁСРиЁСР╕ЁСРЦ ЁСРоЁССАЁСРОЁСР╛ЁСР▒ЁССВЁСР░ЁСРм Manjushree,27.6804895,85.3837643,Buddhist temple,0.41509960016723885,14,14.0
Kon Chuka,27.6767515,85.3857006,Buddhist temple,0.38453392707743267,15,15.0
BUDDHA STUPA,27.6803229,85.3859458,Buddhist temple,0.435519240553127,16,16.0
Chiwaa Dyo,27.6762944,85.3857227,Buddhist temple,0.3819195479901791,17,17.0
Soyaumbhu,27.6975381,85.3682899,Buddhist temple,0.41913754680191345,18,18.0
neupane niwas,27.6865495,85.3866087,Buddhist temple,0.35000000001583337,20,20.0
Urgen Sange Choling Gumba,27.6597999,85.419586,Buddhist temple,0.5117301394510904,3,3.0
рдорд╛рд▓реА рдЧрд╛рдЙрдБ рдмреБрджреНрдз рдкрд╛рд░реНрдХ,27.6375019,85.4467447,Buddhist temple,0.48395236166173855,4,4.0
Hyangla Adibashi Tamang Samaj,27.6593843,85.4195931,Buddhist temple,0.4348185210964531,6,6.0
рдЧреНрдпрд╛рд▓реНрдмреЛ рдЫреНрдпреЛрдЗрд▓рд┐рдЩ рдЧреБрдореНрдмрд╛,27.6451028,85.4427153,Buddhist temple,0.3589743589980276,13,13.0
Gombo gang\Gumba gang,27.6564647,85.4323945,Buddhist temple,0.3861212286661024,14,14.0
Statue of Buddha,27.6621619,85.4454347,Buddhist temple,0.4521005464969909,18,18.0
Lokeshwor Temple (ЁСРеЁСРбЁССВЁСРйЁСРеЁСР╡ЁСРЮЁСР╖ ЁСРоЁССАЁСРОЁСР╛ЁСР▒ЁССВЁСР░ЁСРм),27.6763256,85.3856115,Buddhist temple,0.43205086082737026,14,14.0
Samir2532k,27.6817734,85.3865251,Buddhist temple,0.3518518518693416,18,18.0
Chaitya,27.6779913,85.3858054,Buddhist temple,0.35087719299907666,19,19.0
Jiswa bahal,27.6818067,85.3865569,Buddhist temple,0.35000000001583337,20,20.0
Bachamari Buddha Sthali,27.6624065,85.4453921,Buddhist temple,0.4610292323285066,14,14.0
рдЪрд┐рд╡рд╛рдГрджреНрдп (ЁСРФЁСР╢ЁСР░ЁСР╡ЁССЕЁСРбЁССВЁСРлЁССЕ) рддрдЫреБ рддреНрд╡рд╛:,27.6750051,85.3846041,Buddhist temple,0.38095238099319734,7,7.0
Akshyobhya Buddha Statue,27.638805,85.4388902,Buddhist temple,0.4166666667291667,4,4.0
Dong Niwas,27.6819618,85.4158133,Buddhist temple,0.3789783715169697,20,20.0
Namo buddha,27.659331,85.423161,Buddhist temple,0.4000000000533333,5,5.0
Buddhist Philosophy & Meditation Centre,27.6615905,85.422583,Buddhist temple,0.38095238099319734,7,7.0
Jetvarna Vihar / Dathu Baha Chapachwo,27.6812757,85.3865367,Buddhist temple,0.35087719299907666,19,19.0
Nigu Pukhu Chaitya,27.6786487,85.3855929,Buddhist temple,0.34313725491147634,34,34.0
Jet barna mahavihar (рдЬреЗрддрдмрд░реНрдг рдорд╣рд╛рдмрд┐рд╣рд╛рд░) Dathu bahi,27.6812802,85.3863301,Buddhist temple,0.3428571428663945,35,35.0
Suryamadhi Buddha Stupa,27.673402,85.4374246,Buddhist temple,0.4422856949690302,8,8.0
Tumbahal,27.6730954,85.4375166,Buddhist temple,0.35416666668619795,16,16.0
Akhandashil Maha Vihar (Akha Baha),27.6702456,85.4281951,Buddhist temple,0.41906785413884684,12,12.0
Dhading charange,27.6644841,85.4090714,Buddhist temple,0.4444444445185185,3,3.0
Thrangu sekhar,27.6709939,85.4298429,Buddhist temple,0.35000000001583337,20,20.0
Nyatapola Temple,27.6713593,85.4293285,Hindu temple,0.9967196348767439,1,1.0
Dattatraya Temple рджрддреНрддрд╛рддреНрд░рдп рдордиреНрджрд┐рд░,27.6734281,85.4353788,Hindu temple,0.78691099662827,2,2.0
Siddhi Vatsala Temple,27.6720314,85.4287688,Hindu temple,0.5965208376141218,3,3.0
Bhagwati,27.6721405,85.4288012,Hindu temple,0.5205530418927073,4,4.0
Indrayani Temple,27.6731876,85.4268204,Hindu temple,0.5552531323798143,5,5.0
Mayaju Temple (рдордпрдЬреБ рдордиреНрджрд┐рд░),27.6713333,85.4297626,Hindu temple,0.4178672604363216,6,6.0
Navadurga Dyo Chhen Temple рдирд╡рджреБрд░реНрдЧрд╛ рджреНрдпрдГ рдЫреЗрдБ,27.6751675,85.4357768,Hindu temple,0.6137478971575239,7,7.0
Siddhi Ganesh Temple,27.6733542,85.4332882,Hindu temple,0.4980980216309252,8,8.0
Shilu Mahadev - Phasi Dega,27.6723271,85.4289579,Hindu temple,0.5455270686933457,9,9.0
Indrayani Dyochen,27.672445,85.4268668,Hindu temple,0.4125962988579346,10,10.0
Nс╣Ыtya vatsal─Б temple,27.6719316,85.4284204,Hindu temple,0.521841801293834,11,11.0
Laxmi Narasingha Temple,27.6705969,85.4289901,Hindu temple,0.4770245971411197,12,12.0
Balakhu Ganesh Temple,27.6726042,85.4294198,Hindu temple,0.4693053043660931,13,13.0
Hemadyo рд╣реЗрдорджреНрдпреЛ,27.6735024,85.432488,Hindu temple,0.3861212286661024,14,14.0
Bhaju Temple (рднрд╛рдЬреБ рдордиреНрджрд┐рд░),27.6713081,85.430077,Hindu temple,0.38453392707743267,15,15.0
рд╕рд┐рдо рджреНрдп: (Sim God),27.6716284,85.435012,Hindu temple,0.4121234096884708,16,16.0
Uma Maheshwor Temple,27.6724003,85.4301723,Hindu temple,0.4342937503559718,17,17.0
Indra Siddhi Binayak,27.672318,85.4328092,Hindu temple,0.38083022337047795,18,18.0
Nasha Temple,27.674292,85.4345713,Hindu temple,0.43781230750248595,19,19.0
Yachhen Ganesh Temple,27.6734284,85.432418,Hindu temple,0.4810854588868608,20,20.0
buddhist stupa,27.6723724,85.4326323,Hindu temple,0.4089523616073636,40,40.0
Wakupati Narayan Temple,27.6733704,85.4370877,Hindu temple,0.5293530271032911,26,26.0
Yaksheshwar Mahadev Temple (Pashupatinath Bhaktapur),27.6717975,85.4284498,Hindu temple,0.5402469133183363,27,27.0
Mahadev temple,27.6720621,85.4338704,Hindu temple,0.4516771613250383,30,30.0
Rameshwar Temple,27.672109,85.4275902,Hindu temple,0.5003465990451156,31,31.0
Lapan Mahadev Temple,27.6719751,85.4286546,Hindu temple,0.389679632171359,32,32.0
Purveshwor Mahadev рдкреВрд░реНрд╡реЗрд╢реНрд╡рд░ рдорд╣рд╛рджреЗрд╡,27.6718948,85.428851,Hindu temple,0.3887867750276624,35,35.0
Jagannath Temple,27.6726155,85.4299536,Hindu temple,0.46294289899010793,38,38.0
рддрд▓рд╛рддреБрдВрдереА рдЧрдгреЗрд╢ рдзреНрдпреК рдЫреЗрдВ,27.6733116,85.4361416,Hindu temple,0.38759629883605956,40,40.0
Shree Mahakali Mandir,27.6758774,85.4313614,Hindu temple,0.5112181641654817,41,41.0
Bhisindyoo Temple (Bhimsen Temple),27.673478,85.4347676,Hindu temple,0.47235530014861626,42,42.0
Taleju Bhawani Temple Bhaktapur,27.6724803,85.4282575,Hindu temple,0.4918705658635356,44,44.0
Salaan Ganesh Temple,27.6739136,85.4350911,Hindu temple,0.4154877138144207,46,46.0
Laxmi Narayan Temple Dattatraya,27.673588,85.4350355,Hindu temple,0.3983822749241077,47,47.0
Harihar Narayan Temple,27.6724687,85.4291017,Hindu temple,0.38620740994584546,48,48.0
рдзрдиреЗрд╢реНрд╡рд░ рдорд╣рд╛рджреЗрд╡ рдордиреНрджрд┐рд░,27.6739848,85.4353264,Hindu temple,0.3401360544284326,49,49.0
Wane laayeku Temple (рд╡рд╛рдиреЗ рд▓рд╛рдпрдХреБ рдЪреБрдХреЛ),27.6731226,85.435132,Hindu temple,0.39795674300880607,50,50.0
Shija Mahadev Temple,27.6748214,85.4368333,Hindu temple,0.38579891321342735,51,51.0
Taba Sattal (рддрдмрд╛ рд╕рддреНрддрд▓реН),27.6719048,85.4289589,Hindu temple,0.3977003327521495,52,52.0
Gachhen Narayan Temple,27.6747272,85.4362897,Hindu temple,0.4069083364481765,53,53.0
Bhimsen temple,27.6724307,85.4314548,Hindu temple,0.45272149993940447,54,54.0
Sundari Gopal Temple,27.6740094,85.4299246,Hindu temple,0.3683723109010262,55,55.0
Saraswati Temple,27.6741054,85.433109,Hindu temple,0.3972424572938332,56,56.0
Durupo dyo,27.6718817,85.4303839,Hindu temple,0.36815965805658935,57,57.0
Bishnu Mandir,27.6725848,85.4323669,Hindu temple,0.4204330336426921,58,58.0
Gopinath Krishna Temple,27.6721359,85.4275977,Hindu temple,0.4620810724474785,59,59.0
Ked─Бran─Бtha Temple,27.6720251,85.4278978,Hindu temple,0.4781982057635538,60,60.0
Uma Maheshwar Temple,27.672453,85.4266146,Hindu temple,0.4059100335621175,63,63.0
Bhokhadyo Temple рднреЛрдЦрд╛рджреНрдп: рдордиреНрджрд┐рд░,27.6740408,85.4355038,Hindu temple,0.3385416666717936,64,64.0
Tocha Ganesh Temple,27.6740767,85.4372889,Hindu temple,0.4695469973376152,65,65.0
"Swet bhairav,kwathandau",27.6750781,85.4348166,Hindu temple,0.4197364122557415,66,66.0
рд╕реВрд░реНрдп рд╡рд┐рдирд╛рдпрдХ рдЧрдгреЗрд╢,27.6724983,85.4308599,Hindu temple,0.33823529412247694,68,68.0
Surye temple,27.6753988,85.4351012,Hindu temple,0.33809523809993197,70,70.0
Gauri Shankar Temple,27.6722606,85.4306029,Hindu temple,0.33796296296752826,72,72.0
Mahakali Dyochhen(рдорд╣рд╛рдХрд╛рд▓реА рджреНрдпреЛрдЫреЗрдБ),27.6744667,85.4318681,Hindu temple,0.4297588077060348,73,73.0
Nasa Dyo (Suryamadhi Nasa dyo),27.6735845,85.4372927,Hindu temple,0.3378378378422815,74,74.0
Macho Bhairav Temple,27.6719707,85.435819,Hindu temple,0.41268578144456725,75,75.0
Nasa Dyo (Yalachhen Nasa Dyo),27.6738838,85.4295827,Hindu temple,0.33771929824994223,76,76.0
Manakamana temple,27.6719942,85.4293335,Hindu temple,0.44149321277459697,78,78.0
Kuti Pwaka Ganesh,27.6756008,85.4353771,Hindu temple,0.36653111412133615,79,79.0
Naasa Dyo,27.671983,85.430551,Hindu temple,0.4124080036665189,80,80.0
Indra siddhi Ganesh Temple,27.6723832,85.4328083,Hindu temple,0.39540530267711915,81,81.0
Ram Jhupadi (рд░рд╛рдо рдЭреБрдкрдбреА),27.672313,85.4324719,Hindu temple,0.3373983739877553,82,82.0
Kolachhen,27.6729046,85.4371705,Hindu temple,0.33734939759432914,83,83.0
Hamadev Temple,27.6722295,85.4373541,Hindu temple,0.3832312194667762,84,84.0
Mahalaxmi Temple,27.674889,85.4332981,Hindu temple,0.47011964862933686,85,85.0
"Bhaktpur Darbar, Kathmandu, Nepal",27.6721763,85.4282921,Hindu temple,0.42898047644749265,88,88.0
рд╣рд░рд┐ рд╢рдВрдХрд░ рдирд╛рд░рд╛рдпрдг рдордиреНрджрд┐рд░,27.6726894,85.4358239,Hindu temple,0.3370786516890965,89,89.0
Bramhayani Dyochhen,27.6736189,85.4365444,Hindu temple,0.36601540854183595,90,90.0
Gauri Narayan Temple,27.6725821,85.4253507,Hindu temple,0.3949530800022325,91,91.0
"Tripurasundari, gymnastic hall",27.6727195,85.4304213,Hindu temple,0.4805210629146644,92,92.0
Ganesh mandir,27.6785491,85.4348566,Hindu temple,0.33691756272756,93,93.0
Wachu Narayan Temple,27.6720776,85.4349028,Hindu temple,0.4287386969501576,94,94.0
Bal Gopal,27.6743899,85.4302949,Hindu temple,0.3368421052666297,95,95.0
Bhindyo Deity,27.6723864,85.4357277,Hindu temple,0.38273518772025944,96,96.0
magar niwas,27.6748464,85.4273098,Hindu temple,0.3367697594535728,97,97.0
Bholachhen Ganesh Temple,27.6751106,85.4319521,Hindu temple,0.3946570797059425,99,99.0
Anantalingeswar Temple,27.6724439,85.4265545,Hindu temple,0.4285259309925024,100,100.0
рдЧрд╛рдБрдЦреБ рдорд╣рд╛рджреЗрдм рдордиреНрджрд┐рд░,27.6886132,85.3948237,Hindu temple,0.3900894826377104,12,12.0
Temple Square,27.699378,85.3816558,Hindu temple,0.3555555555762963,15,15.0
Ganesh Temple,27.6991877,85.3831991,Hindu temple,0.4930708915940529,19,19.0
"Sidhhi Ganesh Temple, Nagadesh",27.6841608,85.3843357,Hindu temple,0.7125962988279345,1,1.0
Luu jhya(golden window),27.6840503,85.3853201,Hindu temple,0.5459296322446012,2,2.0
рд╢реНрд░реА рд╕рд┐рджреНрдзреЗрд╢реНрд╡рд░ рдорд╣рд╛рджреЗрд╡ рдордиреНрджрд┐рд░,27.6845209,85.3781801,Hindu temple,0.5516771613883716,3,3.0
"Sileshwor Mahadev, Naagdesh",27.6873549,85.381375,Hindu temple,0.5698290157602877,4,4.0
Saraswati Mandir,27.6826682,85.3851232,Hindu temple,0.502104216029025,6,6.0
рдЬрдВрд▓рд╛ рджреНрдпреЛ Harisiddhi Temple ЁСРЦЁССДЁСРоЁСР╡ ЁСРбЁССВЁСРлЁССЕ ЁСРаЁСР╢ЁСРйЁСР╢ ЁСРйЁСР┤ЁСР╛ЁСР▒ЁССВЁСР░ЁСРмЁСР╖,27.6808972,85.385612,Hindu temple,0.4268820131544652,7,7.0
Kumanani Ganesh Temple рдЧрдгреЗрджреНрдпреЛ,27.6805202,85.3855531,Hindu temple,0.4039783715375947,8,8.0
Radha Krishna Temple,27.6820325,85.3795552,Hindu temple,0.483585697497132,9,9.0
Ganesh Temple,27.6893094,85.3809187,Hindu temple,0.4939488727248637,10,10.0
рдкреНрд░рдХрд╛рд░реЗрд╢реНрд╡рд░ рдорд╣рд╛рджреНрдпрдГ,27.6807205,85.3830701,Hindu temple,0.39261473516504825,11,11.0
Nityanath Temple рдирд╛рд╕рдВ рджреНрдпреЛ,27.6808733,85.3844688,Hindu temple,0.3900894826377104,12,12.0
Kshetrapal Mandir (рдХреНрд╖реЗрддреНрд░рдкрд╛рд▓ рдордиреНрджрд┐рд░),27.6843523,85.3875818,Hindu temple,0.38795273049916396,13,13.0
рд╕рд┐рджреНрдзрд┐рдХрд╛рд▓реА рдореВ: рдзрд┐рдореЗ рдЫреЗрдВ,27.681213,85.3851627,Hindu temple,0.4014851877375642,15,15.0
Bhimsen Temple / рднрд┐рдиреНрджреНрдпреЛ,27.6807391,85.3817354,Hindu temple,0.40009629884746584,16,16.0
ЁСРгЁСР╡ЁСР│ЁССЕ ЁСРбЁССВЁСРлЁССЕ Nityenath Temple,27.6800305,85.3868497,Hindu temple,0.4568275516525833,17,17.0
"Shiv Mandir Bahakha Bazaar, Nagadesh",27.6829558,85.3861071,Hindu temple,0.4098085948716144,18,18.0
Siddhikali Temple,27.6806137,85.3830539,Hindu temple,0.5541350698070233,20,20.0
Mahadev Temple,27.685101,85.3843531,Hindu temple,0.34666666667946666,25,25.0
Sileshwor chock madhyapur Thimi,27.687304,85.3803283,Hindu temple,0.34567901235756743,27,27.0
Dhuncho Bagh Dhara Chok,27.6896666,85.3816661,Hindu temple,0.34523809524957483,28,28.0
Doleshwar Mahadev Temple,27.6388668,85.4384091,Hindu temple,1.0,1,1.0
Pilot Baba Ashram,27.6401489,85.4226591,Hindu temple,0.8104564945484437,2,2.0
Suryabinayak Ganesh Temple,27.6562438,85.4234219,Hindu temple,0.7144857190340925,4,4.0
Pathivara Temple,27.6443052,85.4165683,Hindu temple,0.6303307385176533,5,5.0
Tarakeshwor Mahadev Temple,27.6396401,85.416252,Hindu temple,0.5141313268700299,6,6.0
Chiranjibi party(Rameshwor and Hanumanteshwore temple),27.6370893,85.417322,Hindu temple,0.4268820131544652,7,7.0
Likha Narayan Temple рд▓рд┐рдЦрд╛ рдирд╛рд░рд╛рдпрдг,27.6520954,85.4188462,Hindu temple,0.5044555631804702,10,10.0
Som Nath Temple,27.6403136,85.4223825,Hindu temple,0.48207238059249446,13,13.0
Maheshwor Mahadev Mandir,27.6482216,85.4160328,Hindu temple,0.41089791949131554,17,17.0
Krishna Mandir,27.6421166,85.4147654,Hindu temple,0.46506717896318134,18,18.0
Sangameshwor Mahadev Temple,27.6765069,85.3979516,Hindu temple,0.7738993835365197,1,1.0
Kundol Bhagawati Temple,27.6833594,85.3945749,Hindu temple,0.6542208095193145,2,2.0
Gankhu Aakash Devi Temple рдЧрд╛рдБрдЦреБ рдЖрдХрд╛рд╢ рджреЗрдмреАрдордиреНрджрд┐рд░,27.6848368,85.3970112,Hindu temple,0.4734228160196549,3,3.0
Gankhu BhuiChampa Devi temple рдЧрд╛рдБрдЦреБ рднреБрдЗрдЪрдореНрдкрд╛ рджреЗрдмреА рдордиреНрджрд┐рд░,27.6844776,85.3982386,Hindu temple,0.4579567430556062,5,5.0
Nasa Dyo,27.6768036,85.3861584,Hindu temple,0.4348185210964531,6,6.0
ЁСРеЁССАЁСРзЁСР╕ ЁСР│ЁСР╕ЁСРмЁССВЁСРлЁСР░ЁСР╢ЁСРгЁСР╡ЁСРлЁСРО ЁСРбЁССВЁСРлЁССЕ Pobu Suryavinayak Dya,27.6799798,85.388238,Hindu temple,0.4339523616292386,10,10.0
Ganesh temple,27.6770188,85.3855641,Hindu temple,0.47396730903197737,11,11.0
Shree Sarbeshwor Mahadev Temple,27.6803322,85.3974061,Hindu temple,0.4360191147989783,12,12.0
Shree Byang Ganesh Temple,27.6826006,85.4011897,Hindu temple,0.48625656502622455,13,13.0
Balkumari Temple,27.6758251,85.3853204,Hindu temple,0.6061448183987395,15,15.0
Mahalaxmi Temple (Chode) ЁСРйЁСР┤ЁСР╡ЁСРоЁСРОЁССВЁСР▓ЁССВЁСРйЁСР╖ ЁСРбЁСР╛ЁСРРЁССЕ,27.6785036,85.3879009,Hindu temple,0.4460259310087336,16,16.0
Rakta kali mandir,27.6775003,85.3947749,Hindu temple,0.44920524292275105,17,17.0
Radhe Radhe Ashram,27.6751591,85.3993195,Hindu temple,0.5376562091207063,20,20.0
Guru ko puja pasal,27.6784164,85.3984178,Hindu temple,0.37513221766731,26,26.0
Rupesh house,27.6444183,85.460583,Hindu temple,0.5459296322446012,2,2.0
Bandeswori Devi,27.6439056,85.4627904,Hindu temple,0.4289783715544697,5,5.0
Dhungadol Guru Ganesh Temple,27.6461451,85.4593608,Hindu temple,0.4389091239954701,7,7.0
Panchakanya Devi Temple,27.6403257,85.4647915,Hindu temple,0.4376560653358641,9,9.0
White goddess Temple,27.6501074,85.4621009,Hindu temple,0.3666666666966667,10,10.0
Kapildev Narayan Temple,27.6426854,85.4621449,Hindu temple,0.4505714781673211,11,11.0
Suresh mahat home,27.6435353,85.4607133,Hindu temple,0.3589743589980276,13,13.0
я╕Прдмрд╛рдЧреЗрд╢реНрд╡рд░реА рдорд╣рд╛рджреЗрд╡рд╕реНрдерд╛рди,27.6506452,85.4623994,Hindu temple,0.39887080865031055,17,17.0
рдЗрдереБрд▓реА рдлрд▓реНрдЪрд╛:,27.6668549,85.4492827,Hindu temple,0.4734228160196549,3,3.0
рджрдХреНрд╖рд┐рдгрдХрд╛рд▓реА рдордиреНрджрд┐рд░,27.6686086,85.4713428,Hindu temple,0.4289783715544697,5,5.0
рд░рдХреНрддрдХрд╛рд▓реА рджреЗрд╡реА,27.6574951,85.4718373,Hindu temple,0.43295674303873116,8,8.0
Brahmayani Temple,27.6737714,85.4441349,Hindu temple,0.5319240520342503,11,11.0
shiva temple sudal,27.6863198,85.4754882,Hindu temple,0.42839680606914593,12,12.0
Shanti Bhairab Temple,27.6539191,85.4538857,Hindu temple,0.4244285520975379,14,14.0
Degaina Ganesh Temple,27.6737099,85.441043,Hindu temple,0.4558042502039456,15,15.0
Chundevi pipalbot chagunarayan 9,27.6666051,85.4521962,Hindu temple,0.35294117648904266,17,17.0
Chunadevi chautara panitanki( рдЪреБрдирджреЗрд╡реА рдЪреМрддрд╛рд░рд╛ рдЪрд╛рдЧреБрдирд╛рд░рд╛рдпрдг реп),27.6660493,85.4514354,Hindu temple,0.3492063492214664,21,21.0
рд╡рдирджреЗрд╡реА рдордиреНрджрд┐рд░,27.643811,85.43685,Hindu temple,0.38095238099319734,7,7.0
DREAM,27.6554802,85.4303427,Hindu temple,0.37500000003645834,8,8.0
Chandrabinayak Ganesh Mandir,27.6432201,85.4337528,Hindu temple,0.47086908053376497,11,11.0
Suryabinayak Sheshshayi Narayan,27.656685,85.4236193,Hindu temple,0.4342937503559718,17,17.0
Suryabinayak,27.6581959,85.4243502,Hindu temple,0.3977814840306095,18,18.0
